Nome,Posição,Naturalidade,Clube,Idade
Koya Yuruki,Meia esquerdo,Japan,Vissel Kobe,28
Jean Patric,Meia esquerdo,Brazil,Vissel Kobe,26
Mizuki Arai,Meia esquerdo,Japan,Vissel Kobe,26
Shuhei Kawasaki,Second Striker,Japan,Vissel Kobe,22
Yoshinori Muto,Centroavante,Japan,Vissel Kobe,31
Lincoln,Centroavante,Brazil,Vissel Kobe,22
Yuya Osako,Centroavante,Japan,Vissel Kobe,33
Junling Yan,Goleiro,China,Shanghai Port,31
Wei Chen,Goleiro,China,Shanghai Port,24
Tyias Browning,Zagueiro,China,Shanghai Port,28
Ang Li,Zagueiro,China,Shanghai Port,29
Zhen Wei,Zagueiro,China,Shanghai Port,25
Shenchao Wang,Lateral esquerdo,China,Shanghai Port,33
Shuai Li,Lateral esquerdo,China,Shanghai Port,27
Hai Yu,Lateral esquerdo,China,Shanghai Port,35
Linpeng Zhang,Lateral direito,China,Shanghai Port,33
Shenyuan Li,Lateral direito,China,Shanghai Port,25
Murahmetjan Muzepper,Volante,China,Shanghai Port,31
Shiyuan Yang,Volante,China,Shanghai Port,28
Huikang Cai,Volante,China,Shanghai Port,33
Xin Xu,Meia,China,Shanghai Port,28
Oscar,Meia atacante,Brazil,Shanghai Port,31
Matias Vargas,Meia esquerdo,Argentina,Shanghai Port,25
Wenjun Lu,Meia esquerdo,China,Shanghai Port,33
Xiaolong Liu,Meia esquerdo,China,Shanghai Port,19
Lei Wu,Meia direito,China,Shanghai Port,31
Issa Kallon,Meia direito,Sierra Leone,Shanghai Port,26
Lucas Joao,Centroavante,Angola,Shanghai Port,29
Markus Pink,Centroavante,Austria,Shanghai Port,31
Shenglong Li,Centroavante,China,Shanghai Port,30
Zhen Ma,Goleiro,China,Shanghai Shenhua,25
Yaxiong Bao,Goleiro,China,Shanghai Shenhua,26
Zhengkai Zhou,Goleiro,China,Shanghai Shenhua,22
Haoran Liu,Goleiro,China,Shanghai Shenhua,18
Hang Yu,Defence,China,Shanghai Shenhua,21
Junqiang Wang,Defence,China,Shanghai Shenhua,20
Bizhen He,Defence,China,Shanghai Shenhua,20
Longxiao Wang,Defence,China,Shanghai Shenhua,20
Shenglong Jiang,Zagueiro,China,Shanghai Shenhua,22
Chenjie Zhu,Zagueiro,China,Shanghai Shenhua,23
Yangyang Jin,Zagueiro,China,Shanghai Shenhua,30
Shunkai Jin,Zagueiro,China,Shanghai Shenhua,22
Jiabao Wen,Lateral esquerdo,China,Shanghai Shenhua,24
Aidi Fulangxisi,Lateral esquerdo,China,Shanghai Shenhua,32
Macario Hing-Glover,Lateral direito,United States,Shanghai Shenhua,28
Lin Cui,Lateral direito,China,Shanghai Shenhua,25
Yougang Xu,Lateral direito,China,Shanghai Shenhua,27
Zexiang Yang,Lateral direito,China,Shanghai Shenhua,28
Yue Zhu,Lateral direito,China,Shanghai Shenhua,22
Ibrahim Amadou,Volante,France,Shanghai Shenhua,30
Wai-Tsun Dai,Volante,China,Shanghai Shenhua,24
Haoyang Xu,Meia,China,Shanghai Shenhua,24
Xi Wu,Meia,China,Shanghai Shenhua,34
Longhai He,Right Midfield,China,Shanghai Shenhua,22
Yunding Cao,Left Midfield,China,Shanghai Shenhua,33
Joao Carlos Teixeira,Meia atacante,Portugal,Shanghai Shenhua,30
Haijian Wang,Meia atacante,China,Shanghai Shenhua,23
Junchen Zhou,Meia esquerdo,China,Shanghai Shenhua,23
Hanchao Yu,Meia esquerdo,China,Shanghai Shenhua,36
Christian Bassogog,Meia direito,Cameroon,Shanghai Shenhua,28
Ruofan Liu,Meia direito,China,Shanghai Shenhua,24
Cephas Malele,Centroavante,Switzerland,Shanghai Shenhua,29
Wei Zhang,Centroavante,China,Shanghai Shenhua,23
Ernanduo Fei,Attack,China,Shanghai Shenhua,22
Agustin Rossi,Goleiro,Argentina,CR Flamengo,28
Matheus Cunha,Goleiro,Brazil,CR Flamengo,22
Santos,Goleiro,Brazil,CR Flamengo,33
Leo Pereira,Zagueiro,Brazil,CR Flamengo,27
Fabricio Bruno,Zagueiro,Brazil,CR Flamengo,27
Pablo,Zagueiro,Brazil,CR Flamengo,32
Gabriel Noga,Zagueiro,Brazil,CR Flamengo,21
Rodrigo Caio,Zagueiro,Brazil,CR Flamengo,30
David Luiz,Zagueiro,Brazil,CR Flamengo,36
Cleiton,Zagueiro,Brazil,CR Flamengo,20
Ayrton Lucas,Lateral esquerdo,Brazil,CR Flamengo,26
Filipe Luis,Lateral esquerdo,Brazil,CR Flamengo,38
Matheuzinho,Lateral direito,Brazil,CR Flamengo,23
Wesley,Lateral direito,Brazil,CR Flamengo,20
Guillermo Varela,Lateral direito,Uruguay,CR Flamengo,30
Allan,Volante,Brazil,CR Flamengo,26
Erick Pulgar,Volante,Chile,CR Flamengo,29
Thiago Maia,Volante,Brazil,CR Flamengo,26
Igor Jesus,Volante,Brazil,CR Flamengo,20
Gerson,Meia,Brazil,CR Flamengo,26
Victor Hugo,Meia,Brazil,CR Flamengo,19
Giorgian de Arrascaeta,Meia atacante,Uruguay,CR Flamengo,29
Everton Ribeiro,Meia atacante,Brazil,CR Flamengo,34
Lorran,Meia atacante,Brazil,CR Flamengo,17
Everton,Meia esquerdo,Brazil,CR Flamengo,27
Bruno Henrique,Meia esquerdo,Brazil,CR Flamengo,32
Luiz Araujo,Meia direito,Brazil,CR Flamengo,27
Pedro,Centroavante,Brazil,CR Flamengo,26
Gabriel Barbosa,Centroavante,Brazil,CR Flamengo,27
Weverton,Goleiro,Brazil,Sociedade Esportiva Palmeiras,35
Kaique,Goleiro,Brazil,Sociedade Esportiva Palmeiras,20
Marcelo Lomba,Goleiro,Brazil,Sociedade Esportiva Palmeiras,36
Mateus,Goleiro,Brazil,Sociedade Esportiva Palmeiras,21
Gustavo Gomez,Zagueiro,Paraguay,Sociedade Esportiva Palmeiras,30
Murilo,Zagueiro,Brazil,Sociedade Esportiva Palmeiras,26
Luan,Zagueiro,Brazil,Sociedade Esportiva Palmeiras,30
Naves,Zagueiro,Brazil,Sociedade Esportiva Palmeiras,21
Michel,Zagueiro,Brazil,Sociedade Esportiva Palmeiras,20
Joaquin Piquerez,Lateral esquerdo,Uruguay,Sociedade Esportiva Palmeiras,25
Vanderlan,Lateral esquerdo,Brazil,Sociedade Esportiva Palmeiras,21
Mayke,Lateral direito,Brazil,Sociedade Esportiva Palmeiras,30
Garcia,Lateral direito,Brazil,Sociedade Esportiva Palmeiras,21
Marcos Rocha,Lateral direito,Brazil,Sociedade Esportiva Palmeiras,34
Fabinho,Volante,Brazil,Sociedade Esportiva Palmeiras,21
Jailson,Volante,Brazil,Sociedade Esportiva Palmeiras,28
Gabriel Menino,Meia,Brazil,Sociedade Esportiva Palmeiras,23
Ze Rafael,Meia,Brazil,Sociedade Esportiva Palmeiras,30
Richard Rios,Meia,Colombia,Sociedade Esportiva Palmeiras,23
Eduard Atuesta,Meia,Colombia,Sociedade Esportiva Palmeiras,26
Raphael Veiga,Meia atacante,Brazil,Sociedade Esportiva Palmeiras,28
Luis Guilherme,Meia atacante,Brazil,Sociedade Esportiva Palmeiras,17
Jhon Jhon,Meia atacante,Brazil,Sociedade Esportiva Palmeiras,21
Dudu,Meia esquerdo,Brazil,Sociedade Esportiva Palmeiras,31
Breno Lopes,Meia esquerdo,Brazil,Sociedade Esportiva Palmeiras,27
Kevin,Meia esquerdo,Brazil,Sociedade Esportiva Palmeiras,20
Artur,Meia direito,Brazil,Sociedade Esportiva Palmeiras,25
Endrick,Centroavante,Brazil,Sociedade Esportiva Palmeiras,17
Rony,Centroavante,Brazil,Sociedade Esportiva Palmeiras,28
Jose Manuel Lopez,Centroavante,Argentina,Sociedade Esportiva Palmeiras,22
Daniel Silva,Centroavante,Brazil,Sociedade Esportiva Palmeiras,19
Jandrei,Goleiro,Brazil,Sao Paulo Futebol Clube,30
Rafael,Goleiro,Brazil,Sao Paulo Futebol Clube,34
Felipe Alves,Goleiro,Brazil,Sao Paulo Futebol Clube,35
Young,Goleiro,Brazil,Sao Paulo Futebol Clube,21
Lucas Beraldo,Zagueiro,Brazil,Sao Paulo Futebol Clube,19
Diego Costa,Zagueiro,Brazil,Sao Paulo Futebol Clube,24
Alan Franco,Zagueiro,Argentina,Sao Paulo Futebol Clube,27
Nahuel Ferraresi,Zagueiro,Venezuela,Sao Paulo Futebol Clube,24
Robert Arboleda,Zagueiro,Ecuador,Sao Paulo Futebol Clube,31
Walce,Zagueiro,Brazil,Sao Paulo Futebol Clube,24
Matheus Belem,Zagueiro,Brazil,Sao Paulo Futebol Clube,20
Welington,Lateral esquerdo,Brazil,Sao Paulo Futebol Clube,22
Caio Paulista,Lateral esquerdo,Brazil,Sao Paulo Futebol Clube,25
Patryck,Lateral esquerdo,Brazil,Sao Paulo Futebol Clube,20
Igor Vinicius,Lateral direito,Brazil,Sao Paulo Futebol Clube,26
Joao Moreira,Lateral direito,Brazil,Sao Paulo Futebol Clube,19
Nathan Mendes,Lateral direito,Brazil,Sao Paulo Futebol Clube,21
Rai Ramos,Lateral direito,Brazil,Sao Paulo Futebol Clube,29
Rafinha,Lateral direito,Brazil,Sao Paulo Futebol Clube,38
Pablo Maia,Volante,Brazil,Sao Paulo Futebol Clube,21
Luan,Volante,Brazil,Sao Paulo Futebol Clube,24
Gabriel Neves,Volante,Uruguay,Sao Paulo Futebol Clube,26
Jhegson Mendez,Volante,Ecuador,Sao Paulo Futebol Clube,26
Rodrigo Nestor,Meia,Brazil,Sao Paulo Futebol Clube,23
Rodriguinho,Meia,Brazil,Sao Paulo Futebol Clube,19
Talles Costa,Meia,Brazil,Sao Paulo Futebol Clube,21
Alisson,Meia,Brazil,Sao Paulo Futebol Clube,30
Pedro Vilhena,Meia,Brazil,Sao Paulo Futebol Clube,21
Giuliano Galoppo,Meia atacante,Argentina,Sao Paulo Futebol Clube,24
James Rodriguez,Meia atacante,Colombia,Sao Paulo Futebol Clube,32
Michel Araujo,Meia atacante,Uruguay,Sao Paulo Futebol Clube,27
Wellington Rato,Meia atacante,Brazil,Sao Paulo Futebol Clube,31
Marcos Paulo,Meia esquerdo,Portugal,Sao Paulo Futebol Clube,22
David,Meia esquerdo,Brazil,Sao Paulo Futebol Clube,28
Lucas Moura,Meia direito,Brazil,Sao Paulo Futebol Clube,31
Jonathan Calleri,Centroavante,Argentina,Sao Paulo Futebol Clube,30
Erison,Centroavante,Brazil,Sao Paulo Futebol Clube,24
Luciano,Centroavante,Brazil,Sao Paulo Futebol Clube,30
Juan,Centroavante,Brazil,Sao Paulo Futebol Clube,21
Alexandre Pato,Centroavante,Brazil,Sao Paulo Futebol Clube,34
Bento,Goleiro,Brazil,Club Athletico Paranaense,24
Mycael,Goleiro,Brazil,Club Athletico Paranaense,19
Leo Linck,Goleiro,Brazil,Club Athletico Paranaense,22
Gabriel Pereira,Goleiro,Brazil,Club Athletico Paranaense,21
Ze Ivaldo,Zagueiro,Brazil,Club Athletico Paranaense,26
Pedro Henrique,Zagueiro,Brazil,Club Athletico Paranaense,28
Matheus Felipe,Zagueiro,Brazil,Club Athletico Paranaense,24
Kaique Rocha,Zagueiro,Brazil,Club Athletico Paranaense,22
Thiago Heleno,Zagueiro,Brazil,Club Athletico Paranaense,35
Caca,Zagueiro,Brazil,Club Athletico Paranaense,24
Lucas Esquivel,Lateral esquerdo,Argentina,Club Athletico Paranaense,22
Fernando,Lateral esquerdo,Brazil,Club Athletico Paranaense,24
Vinicius Kaue,Lateral esquerdo,Brazil,Club Athletico Paranaense,20
Bruno Peres,Lateral direito,Brazil,Club Athletico Paranaense,33
Madson,Lateral direito,Brazil,Club Athletico Paranaense,31
Erick,Volante,Brazil,Club Athletico Paranaense,25
Hugo Moura,Volante,Brazil,Club Athletico Paranaense,25
Fernandinho,Volante,Brazil,Club Athletico Paranaense,38
Christian,Meia,Brazil,Club Athletico Paranaense,22
Alex Santana,Meia,Brazil,Club Athletico Paranaense,28
Arturo Vidal,Meia,Chile,Club Athletico Paranaense,36
Bruno Zapelli,Meia atacante,Argentina,Club Athletico Paranaense,21
Vitor Bueno,Meia atacante,Brazil,Club Athletico Paranaense,29
Thiago Andrade,Meia esquerdo,Brazil,Club Athletico Paranaense,22
Tomas Cuello,Meia esquerdo,Argentina,Club Athletico Paranaense,23
Agustin Canobbio,Meia direito,Uruguay,Club Athletico Paranaense,25
Marcelo Cirino,Meia direito,Brazil,Club Athletico Paranaense,31
Emersonn,Meia direito,Brazil,Club Athletico Paranaense,19
Vitor Roque,Centroavante,Brazil,Club Athletico Paranaense,18
Romulo,Centroavante,Brazil,Club Athletico Paranaense,21
Luciano Arriagada,Centroavante,Chile,Club Athletico Paranaense,21
Pablo,Centroavante,Brazil,Club Athletico Paranaense,31
Willian,Centroavante,Brazil,Club Athletico Paranaense,36
Matheus Donelli,Goleiro,Brazil,Sport Club Corinthians Paulista,21
Carlos Miguel,Goleiro,Brazil,Sport Club Corinthians Paulista,25
Cassio,Goleiro,Brazil,Sport Club Corinthians Paulista,36
Lucas Verissimo,Zagueiro,Brazil,Sport Club Corinthians Paulista,28
Bruno Mendez,Zagueiro,Uruguay,Sport Club Corinthians Paulista,24
Caetano,Zagueiro,Brazil,Sport Club Corinthians Paulista,24
Gil,Zagueiro,Brazil,Sport Club Corinthians Paulista,36
Renato Santos,Zagueiro,Brazil,Sport Club Corinthians Paulista,19
Matheus Bidu,Lateral esquerdo,Brazil,Sport Club Corinthians Paulista,24
Fabio Santos,Lateral esquerdo,Brazil,Sport Club Corinthians Paulista,38
Fagner,Lateral direito,Brazil,Sport Club Corinthians Paulista,34
Rafael Ramos,Lateral direito,Portugal,Sport Club Corinthians Paulista,28
Fausto Vera,Volante,Argentina,Sport Club Corinthians Paulista,23
Roni,Volante,Brazil,Sport Club Corinthians Paulista,24
Gabriel Moscardo,Volante,Brazil,Sport Club Corinthians Paulista,18
Victor Cantillo,Volante,Colombia,Sport Club Corinthians Paulista,30
Maycon,Meia,Brazil,Sport Club Corinthians Paulista,26
Matheus Araujo,Meia,Brazil,Sport Club Corinthians Paulista,21
Renato Augusto,Meia,Brazil,Sport Club Corinthians Paulista,35
Giuliano,Meia,Brazil,Sport Club Corinthians Paulista,33
Paulinho,Meia,Brazil,Sport Club Corinthians Paulista,35
Ruan Oliveira,Meia,Brazil,Sport Club Corinthians Paulista,23
Matias Rojas,Meia atacante,Paraguay,Sport Club Corinthians Paulista,27
Pedro,Meia esquerdo,Brazil,Sport Club Corinthians Paulista,17
Wesley,Meia esquerdo,Brazil,Sport Club Corinthians Paulista,18
Angel Romero,Meia esquerdo,Paraguay,Sport Club Corinthians Paulista,31
Biro,Meia direito,Brazil,Sport Club Corinthians Paulista,19
Gustavo Mosquito,Meia direito,Brazil,Sport Club Corinthians Paulista,26
Yuri Alberto,Centroavante,Brazil,Sport Club Corinthians Paulista,22
Giovane,Centroavante,Brazil,Sport Club Corinthians Paulista,19
Felipe Augusto,Centroavante,Brazil,Sport Club Corinthians Paulista,19
Everson,Goleiro,Brazil,Clube Atletico Mineiro,33
Matheus Mendes,Goleiro,Brazil,Clube Atletico Mineiro,24
Gabriel Delfim,Goleiro,Brazil,Clube Atletico Mineiro,21
Igor Rabello,Zagueiro,Brazil,Clube Atletico Mineiro,28
Bruno Fuchs,Zagueiro,Brazil,Clube Atletico Mineiro,24
Jemerson,Zagueiro,Brazil,Clube Atletico Mineiro,31
Mauricio Lemos,Zagueiro,Uruguay,Clube Atletico Mineiro,27
Rever,Zagueiro,Brazil,Clube Atletico Mineiro,38
Guilherme Arana,Lateral esquerdo,Brazil,Clube Atletico Mineiro,26
Rubens,Lateral esquerdo,Brazil,Clube Atletico Mineiro,22
Renzo Saravia,Lateral direito,Argentina,Clube Atletico Mineiro,30
Mariano,Lateral direito,Brazil,Clube Atletico Mineiro,37
Otavio,Volante,Brazil,Clube Atletico Mineiro,29
Rodrigo Battaglia,Volante,Argentina,Clube Atletico Mineiro,32
Alan Franco,Meia,Ecuador,Clube Atletico Mineiro,25
Patrick,Meia,Brazil,Clube Atletico Mineiro,31
Edenilson,Meia,Brazil,Clube Atletico Mineiro,33
Matias Zaracho,Meia atacante,Argentina,Clube Atletico Mineiro,25
Igor Gomes,Meia atacante,Brazil,Clube Atletico Mineiro,24
Hyoran,Meia atacante,Brazil,Clube Atletico Mineiro,30
Paulinho,Meia esquerdo,Brazil,Clube Atletico Mineiro,23
Cristian Pavon,Meia esquerdo,Argentina,Clube Atletico Mineiro,27
Pedrinho,Meia direito,Brazil,Clube Atletico Mineiro,25
Hulk,Centroavante,Brazil,Clube Atletico Mineiro,37
Eduardo Vargas,Centroavante,Chile,Clube Atletico Mineiro,33
Alan Kardec,Centroavante,Brazil,Clube Atletico Mineiro,34
Isaac,Centroavante,Brazil,Clube Atletico Mineiro,19
Cadu,Centroavante,Brazil,Clube Atletico Mineiro,19
Pedro Rangel,Goleiro,Brazil,Fluminense Football Club,23
Fabio,Goleiro,Brazil,Fluminense Football Club,43
Vitor Eudes,Goleiro,Brazil,Fluminense Football Club,24
Nino,Zagueiro,Brazil,Fluminense Football Club,26
Marlon,Zagueiro,Brazil,Fluminense Football Club,28
Vitor Mendes,Zagueiro,Brazil,Fluminense Football Club,24
Manoel,Zagueiro,Brazil,Fluminense Football Club,33
Felipe Melo,Zagueiro,Brazil,Fluminense Football Club,40
David Braz,Zagueiro,Brazil,Fluminense Football Club,36
Marcelo,Lateral esquerdo,Brazil,Fluminense Football Club,35
Jorge,Lateral esquerdo,Brazil,Fluminense Football Club,27
Diogo Barbosa,Lateral esquerdo,Brazil,Fluminense Football Club,31
Guga,Lateral direito,Brazil,Fluminense Football Club,25
Samuel Xavier,Lateral direito,Brazil,Fluminense Football Club,33
Andre,Volante,Brazil,Fluminense Football Club,22
Alexsander,Volante,Brazil,Fluminense Football Club,20
Caio Vinicius,Volante,Brazil,Fluminense Football Club,24
Thiago Santos,Volante,Brazil,Fluminense Football Club,34
Martinelli,Meia,Brazil,Fluminense Football Club,22
Daniel,Meia,Brazil,Fluminense Football Club,27
Jhon Arias,Left Midfield,Colombia,Fluminense Football Club,26
Leonardo Fernandez,Meia atacante,Uruguay,Fluminense Football Club,24
Lima,Meia atacante,Brazil,Fluminense Football Club,27
Ganso,Meia atacante,Brazil,Fluminense Football Club,34
Keno,Meia esquerdo,Brazil,Fluminense Football Club,34
Giovanni,Meia direito,Brazil,Fluminense Football Club,21
Yony Gonzalez,Meia direito,Colombia,Fluminense Football Club,29
John Kennedy,Centroavante,Brazil,Fluminense Football Club,21
German Cano,Centroavante,Argentina,Fluminense Football Club,35
Lele,Centroavante,Brazil,Fluminense Football Club,26
Kaua Elias,Centroavante,Brazil,Fluminense Football Club,17
